input_file,SWP,delta_C,delta_L
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/153934_covariance_mst.mat,0.925772,-0.000000,0.104975
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/146836_covariance_mst.mat,NaN,NaN,0.082354
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/149236_covariance_mst.mat,0.941546,-0.000000,0.082666
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/152427_covariance_mst.mat,NaN,NaN,0.123134
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/153126_covariance_mst.mat,0.917593,-0.000000,0.116541
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/153227_covariance_mst.mat,0.946715,-0.000000,0.075356
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/158136_covariance_mst.mat,0.959717,-0.000000,0.056968
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/158843_covariance_mst.mat,0.913891,-0.000000,0.121777
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/168341_covariance_mst.mat,0.918091,-0.000000,0.115836
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/168947_covariance_mst.mat,0.949866,-0.000000,0.070900
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/169545_covariance_mst.mat,NaN,NaN,0.075811
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/168745_covariance_mst.mat,0.934598,-0.000000,0.092493
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/169949_covariance_mst.mat,0.925500,-0.000000,0.105358
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/169444_covariance_mst.mat,NaN,NaN,0.102775
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/101309_covariance_mst.mat,0.942555,-0.000000,0.081240
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/101915_covariance_mst.mat,0.921204,-0.000000,0.111434
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/102008_covariance_mst.mat,0.946342,-0.000000,0.075884
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/101107_covariance_mst.mat,0.939520,-0.000000,0.085532
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/102109_covariance_mst.mat,NaN,NaN,0.087509
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/192035_covariance_mst.mat,0.969689,-0.000000,0.042866
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/193845_covariance_mst.mat,0.954511,-0.000000,0.064331
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/192136_covariance_mst.mat,0.929691,-0.000000,0.099432
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/194645_covariance_mst.mat,0.942624,-0.000000,0.081142
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/192641_covariance_mst.mat,0.932048,-0.000000,0.096099
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/171532_covariance_mst.mat,NaN,NaN,0.054998
