input_file,SWP,delta_C,delta_L
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/144933_covariance.mat,0.231461,0.436142,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/144832_covariance.mat,0.281510,0.310073,0.999313
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/137229_covariance.mat,0.127286,0.823267,0.919640
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/137027_covariance.mat,0.228419,0.449378,0.999894
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/138332_covariance.mat,1.000000,0.000000,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/136227_covariance.mat,0.204878,0.632366,0.931015
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/138130_covariance.mat,0.159252,0.646882,0.999732
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/137532_covariance.mat,0.262609,0.331541,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/136126_covariance.mat,0.115579,0.758200,0.994821
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/136631_covariance.mat,0.170146,0.615303,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/153227_covariance.mat,0.719944,0.396058,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/172534_covariance.mat,0.288344,0.304750,0.985594
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/172029_covariance.mat,0.293033,0.000000,0.999803
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/172938_covariance.mat,0.676830,0.457031,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/172433_covariance.mat,0.263579,0.360164,0.999991
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/169949_covariance.mat,0.233379,0.478274,0.982016
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/171532_covariance.mat,0.614596,0.544496,0.024903
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/153833_covariance.mat,0.260088,0.340892,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/158843_covariance.mat,0.323069,0.499238,0.830128
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/156435_covariance.mat,0.261795,0.351611,0.992240
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/156536_covariance.mat,0.256610,0.345322,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/154835_covariance.mat,0.277639,0.285292,0.999971
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/154936_covariance.mat,0.203863,0.530483,0.994702
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/154532_covariance.mat,0.221020,0.475452,0.998825
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/154734_covariance.mat,0.258422,0.330024,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/164636_covariance.mat,0.261623,0.376020,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/168745_covariance.mat,0.268848,0.441812,0.949231
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/167036_covariance.mat,1.000000,-0.000000,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/167440_covariance.mat,0.414898,0.827460,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/168341_covariance.mat,0.292893,0.000000,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/164131_covariance.mat,0.281310,0.304630,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/164939_covariance.mat,0.174529,0.655908,0.967598
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/111413_covariance.mat,0.060565,0.902111,0.976235
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/111211_covariance.mat,0.292893,-0.000000,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/160729_covariance.mat,0.182130,0.598718,0.999032
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/162228_covariance.mat,0.150334,0.696131,0.980580
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/174841_covariance.mat,1.000000,0.000000,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/173940_covariance.mat,0.085650,0.819865,0.999988
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/173738_covariance.mat,0.279485,0.220060,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/175338_covariance.mat,1.000000,0.000000,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/173435_covariance.mat,0.746373,0.358683,0.000000
